id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
878328641062180963,149.0,130.68876890341775,-18.311231096582247,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,0.6207518901594826,Arts & Theatre
878417769371113115,148.0,168.99597445228372,20.99597445228372,RAISE,The James Hunter Six,2026-04-19,0.7854288017047909,Music
878816792298975697,408.0,285.59999999999997,-122.40000000000003,DISCOUNT,The James Hunter Six,2026-04-19,0.5614810935300686,Music
879752988434866586,115.0,121.46188014272077,6.461880142720773,RAISE,Diplo,2026-05-22,0.8955599753784116,Music
880295518825196611,128.0,91.91021950829123,-36.089780491708765,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.716375826886715,Sports
882120576508603337,119.0,102.65498379421214,-16.345016205787857,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,0.9279985716807032,Sports
882328737609467766,248.0,230.73599669213093,-17.264003307869075,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.3430987641068837,Sports
882517368415965943,287.0,200.89999999999998,-86.10000000000002,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,0.9083274039131556,Arts & Theatre
882622753886183992,225.0,167.0116928833866,-57.98830711661341,DISCOUNT,Men At Work,2026-09-20,0.7229360099531543,Music
882833343306513455,159.0,206.70000000000002,47.70000000000002,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.057708133500883,Sports
882873906867533655,92.0,76.71474239839306,-15.285257601606943,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.2314447521634544,Sports
883413291267906381,220.0,167.56470650571208,-52.43529349428792,DISCOUNT,Men At Work,2026-09-20,1.2034729275867464,Music
883999881543941755,111.0,85.79940611599072,-25.20059388400928,DISCOUNT,Vans Warped Tour DC,2026-06-13,4.652629783111359,Music
884000021802091455,169.0,202.54708348762617,33.54708348762617,RAISE,Men At Work,2026-09-20,1.9241051273125285,Music
884869537303168617,60.0,78.0,18.0,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.639405188662872,Sports
886238399016623196,476.0,341.57169920463485,-134.42830079536515,DISCOUNT,Men At Work,2026-09-20,0.7744661101789538,Music
886404268901037924,95.0,123.5,28.5,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.5818383631281098,Sports
