id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km
3103276,77.0,31.140476960511258,-45.85952303948874,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.4384596538637959
3136813,149.0,136.70386024185206,-12.296139758147945,DISCOUNT,The James Hunter Six,2026-04-19,0.6280370530853758
3175218,97.0,99.78010949347654,2.7801094934765445,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.452979126730559
3199232,145.0,114.48830049067764,-30.511699509322355,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.1926215562842413
3201115,87.0,93.33021749499403,6.330217494994031,RAISE,Vans Warped Tour DC,2026-06-13,2.1117920265003742
3317645,125.0,133.77838731929842,8.778387319298417,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.8241663474955665
3385117,400.0,141.3228296521879,-258.6771703478121,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,2.338091752798612
3526640,88.0,108.39361723496711,20.39361723496711,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.482328501458174
3538921,106.0,90.52785290858176,-15.472147091418236,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,1.5536447676367175
3601131,103.0,135.00523176754686,32.00523176754686,RAISE,The James Hunter Six,2026-04-19,0.485672058524304
3604624,77.0,122.68049643355047,45.68049643355047,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,3.130382449370651
3627430,114.0,160.30201783750005,46.302017837500046,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5893015462252352
3633359,80.0,90.79892705692886,10.79892705692886,RAISE,Vans Warped Tour DC,2026-06-13,2.956909471246376
3635540,150.0,114.48830049067764,-35.511699509322355,DISCOUNT,Vans Warped Tour DC,2026-06-13,0.666647334645331
3637629,91.0,122.61204114827694,31.612041148276944,RAISE,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.5772478350274926
3645740,79.0,182.08171354210262,103.08171354210262,RAISE,Men At Work,2026-09-20,0.8233950357099902
3651862,127.0,135.00523176754686,8.00523176754686,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.1329914081415882
3674676,100.0,49.00624128689669,-50.99375871310331,DISCOUNT,Vans Warped Tour DC,2026-06-13,0.4871491204052212
3760995,32.0,-40.53139423247982,-72.53139423247981,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.652452566258647
3761001,33.0,-39.18269543615011,-72.18269543615011,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.6917161157892018
3767679,141.0,129.78398134204846,-11.216018657951537,DISCOUNT,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,2.5983147708539285
3810218,95.0,158.3923401083539,63.39234010835389,RAISE,Men At Work,2026-09-20,1.624794443217607
3821808,104.0,192.52159092578668,88.52159092578668,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.6698414956023626
3821950,109.0,129.9302329100058,20.9302329100058,RAISE,Zainab Johnson,2026-06-06,0.5107948060853734
3822053,110.0,189.99030048772153,79.99030048772153,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.6132465258814965
3822134,115.0,180.9300640388249,65.9300640388249,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.5326136824831923
3851703,45.0,262.4196292013042,217.4196292013042,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.190321388365383
3861766,145.0,182.08171354210262,37.08171354210262,RAISE,Men At Work,2026-09-20,1.0382891821375344
3907276,131.0,182.08171354210262,51.08171354210262,RAISE,Men At Work,2026-09-20,1.1940416067560014
3912498,71.0,112.43693146270803,41.43693146270803,RAISE,Diplo,2026-05-22,0.6554823174544553
3996972,150.0,90.79892705692886,-59.20107294307114,DISCOUNT,Bluey's Big Play - The Stage Show,2026-06-24,1.4910082103233993
4016001,98.0,99.78010949347654,1.7801094934765445,HOLD,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.242601882132971
4022565,111.0,239.52139793548008,128.52139793548008,RAISE,Men At Work,2026-09-20,1.0632906827664943
4024085,300.0,519.7399840187053,219.7399840187053,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.019127140896547
4025236,300.0,517.2086935806401,217.2086935806401,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.15453298813865
4025438,300.0,517.2086935806401,217.2086935806401,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,7.126148078063296
4054129,67.0,97.49265108717984,30.492651087179837,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,4.090211719298028
4055607,180.0,143.59807101963816,-36.401928980361845,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.8364049401688292
4083095,110.0,182.08171354210262,72.08171354210262,RAISE,Men At Work,2026-09-20,1.2319468900104806
4204367,72.0,10.420926820568205,-61.579073179431795,DISCOUNT,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,0.70024063881642
4218583,139.0,239.52139793548008,100.52139793548008,RAISE,Men At Work,2026-09-20,1.0632906827664943
4231934,66.0,192.52159092578668,126.52159092578668,RAISE,Power FC vs. Lexington Sporting Club,2026-04-01,0.3053580353129703
4284144,144.0,183.78034201640781,39.780342016407815,RAISE,Men At Work,2026-09-20,0.7845659034834205
4286181,51.0,-49.923605841306404,-100.9236058413064,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.1150782149388243
4325533,131.0,146.34162847577383,15.341628475773831,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.315713563360691
4343926,153.0,236.9901074974149,83.9901074974149,RAISE,Men At Work,2026-09-20,0.9074758875938234
4408378,180.0,133.63510051295506,-46.36489948704494,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,0.9808317192555271
4411488,120.0,239.52139793548008,119.52139793548008,RAISE,Men At Work,2026-09-20,1.0632906827664943
4416095,73.0,31.140476960511258,-41.85952303948874,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.4384596538637959
4420920,78.0,157.55097170740095,79.55097170740095,RAISE,Men At Work,2026-09-20,2.447156448241232
4480481,177.0,119.36744849188491,-57.632551508115085,DISCOUNT,The James Hunter Six,2026-04-19,0.2673434404979833
4482945,70.0,-41.71398587421528,-111.71398587421528,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,2.7712223702656966
4510648,70.0,135.00523176754686,65.00523176754686,RAISE,The Moss,2026-04-22,0.4319335437386771
4552932,149.0,120.1492059954853,-28.850794004514697,DISCOUNT,"Wizards v Heat (City Edition T-Shirt - First 15,000 Fans)",2026-04-10,1.5073190996437815
4565447,243.0,481.96041895092696,238.96041895092696,RAISE,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,2.0570304677895708
4604357,165.0,179.56596376505652,14.565963765056523,RAISE,Men At Work,2026-09-20,1.5424305310023572
4616068,171.0,97.89370552823384,-73.10629447176616,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.3977452181334664
4621063,133.0,132.35406481706312,-0.6459351829368813,HOLD,Bluey's Big Play - The Stage Show,2026-06-24,0.6964221632472428
4635196,144.0,117.01959092874282,-26.980409071257185,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,1.0256125856181255
4708026,148.0,137.53652220561202,-10.463477794387984,DISCOUNT,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.4356573915119498
