id,latitude,longitude,price,bedrooms,accommodates,room_type,neighbourhood_cleansed,review_scores_rating,minimum_nights,nearest_event,event_date,event_category,distance_to_event_km,temp_avg_c,precipitation_mm,is_outdoor_season,is_peak_summer
43065641,38.87881,-77.00773049999998,241.0,1.0,2,Entire home/apt,"Near Southeast, Navy Yard",,31,Foo Fighters: TAKE COVER TOUR 2026,2026-08-17,Music,0.6460751201766272,26.2,99.0,1.0,1.0
43078743,38.89633,-76.99912,143.0,1.0,4,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.97,3,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,1.6933048452158788,27.1,94.0,1.0,1.0
43104720,38.95754,-77.02515,,,4,Entire home/apt,"Brightwood Park, Crestwood, Petworth",4.0,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,3.9658695297763225,19.9,104.0,1.0,0.0
43111277,38.88849,-76.92838,46.0,1.0,2,Private room,"Capitol View, Marshall Heights, Benning Heights",4.56,31,Vans Warped Tour DC,2026-06-13,Music,3.9671385721920065,24.5,91.0,1.0,0.0
43147846,38.8955221,-77.0227607,,2.0,4,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,31,Glow Block Party: Chris Lake,2026-04-18,Music,0.2557848594059287,14.8,82.0,1.0,0.0
43147860,38.91682139999999,-77.04277639999998,,1.0,2,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",5.0,31,Men At Work,2026-09-20,Music,1.1943030435345956,22.1,90.0,1.0,0.0
43159768,38.93194,-77.02545,,4.0,12,Entire home/apt,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.78,1,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.1915063834927728,19.9,104.0,1.0,0.0
43186270,38.8815013,-76.9954697,82.0,1.0,4,Entire home/apt,"Capitol Hill, Lincoln Park",4.57,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.26296730942036967,27.1,94.0,1.0,1.0
43186585,38.8815013,-76.9954697,77.0,1.0,4,Entire home/apt,"Capitol Hill, Lincoln Park",4.62,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.26296730942036967,27.1,94.0,1.0,1.0
43186713,38.8815013,-76.9954697,78.0,1.0,4,Entire home/apt,"Capitol Hill, Lincoln Park",4.73,2,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.26296730942036967,27.1,94.0,1.0,1.0
43270532,38.94413,-77.00449,79.0,1.0,2,Entire home/apt,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",,31,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,2.792801502137079,19.9,104.0,1.0,0.0
43286567,38.89438,-76.99152,,1.0,3,Entire home/apt,"Union Station, Stanton Park, Kingman Park",4.93,1,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,1.3792038494122645,27.1,94.0,1.0,1.0
43303387,38.91261,-77.01541,86.0,1.0,4,Entire home/apt,"Edgewood, Bloomingdale, Truxton Circle, Eckington",4.87,28,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,0.576364681653877,14.8,82.0,1.0,0.0
43315960,38.90695,-77.01383,266.0,3.0,7,Entire home/apt,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5.0,3,"JOSH THOMAS: JIGGLE, JIGGLE",2026-10-15,Arts & Theatre,0.8959603860679484,15.7,82.0,1.0,0.0
43375153,38.91191,-77.05395,99.0,1.0,2,Entire home/apt,"Georgetown, Burleith/Hillandale",5.0,180,Bluey's Big Play - The Stage Show,2026-06-24,Arts & Theatre,1.3388670759185726,24.5,91.0,1.0,0.0
43396371,38.874306444864494,-77.0192616111932,27.0,1.0,1,Private room,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,1,The Moss,2026-04-22,Music,0.4131000514229253,14.8,82.0,1.0,0.0
